longitude,latitude,Altitude(m),Precipitation(mm),Average Temperature (°„C),pH,TN(g/kg-1),AP (mg/kg-1),AK(mg/kg-1),SOC(%),Large-leaved variety,Medium-leaved variety,small-leaved variety,Years of planting,Replicates,mineral fertilizer,organic fertilizer,controlled-released fertilizer,mix fertilizer,N quantity(kg/y/hm2),P2O5 quantity(kg/y/hm2),K2O quantity(kg/y/hm2),organic fertilizer quantity(kg`y/hm2),Fresh Shoot Yield(kg/667m2)_MEAN
119.41,35.45,35,924.9,17,5,1.2,105,218.7,2.02,0,1,0,10,3,1,0,0,0,45,0,0,0,104.09
116.78,23.81,245,1475.9,21.4,4.31,1.14,47.3,201.42,1.98,0,1,0,3,3,1,0,0,0,550,174,176,0,266.04
118.55,25.62,600,1800,18,3.38,3.69,NaN,NaN,5.92,0,1,0,10,3,0,1,0,0,0,0,0,15000,347.15
119.41,35.45,35,924.9,17,5,1.2,105,218.7,2.02,0,1,0,10,3,1,0,0,0,105,0,0,0,138.79
103.5,29.67,450,1555.3,18.2,4.46,1.01,65,180,1.43,0,1,0,14,3,1,0,0,0,240,120,180,0,140.77
119.17,28.98,65,1484,18.21,4.67,2.89,59.3,195.84,4.89,0,1,0,16,3,1,0,0,0,306,93.86,135.43,0,NaN
113.08,28.25,450,1389,16.5,4.8,0.88,NaN,186,0.84,0,1,0,10,3,1,0,0,0,75,9.76,8.7,0,152.64
80.65,8.5,125,2375,27,4.8,0.6,45,216,1.46,0,0,1,3,3,1,0,0,0,270.27,35.91,139.86,0,594.48
118,25.01,224,1378.3,19.92,4.2,1.52,35.6,184,1.02,0,1,0,10,3,1,0,0,0,210,105,105,0,386.23
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,0,75,150,0,391.47
118.23,25.44,680,1574.63,18.49,4.4,1.22,14.4,196,2.15,1,0,0,7,3,0,0,0,0,0,0,0,0,605.67
116,28.37,39,1721.95,18.81,3.88,1.33,63.52,203.66,2.27,0,1,0,7,3,1,0,0,0,150,32.4,54.6,0,305.78
118.23,25.44,680,1574.63,18.49,4.4,1.22,14.4,196,2.15,1,0,0,7,3,1,0,0,0,270,120,75,0,NaN
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,300,150,0,0,753.27
119.38,26.68,543,1540,19.3,5.64,0.63,30,181.3,0.92,0,1,0,14,3,0,0,0,0,0,0,0,0,153.93
119.6,27.17,110,1700,17.9,4.25,1.07,98,176.8,1.95,1,0,0,5,3,0,0,1,0,93.38,37.35,74.7,0,413.54
121.42,28.66,8,1648,17.84,5.7,1.1,10.1,134,0.96,0,1,0,9,3,1,0,0,0,250,110,167,0,162.4
118,25.01,230,1800,17,3.91,1.39,45,168.4,1.05,0,1,0,5,3,1,0,0,0,420,112.5,225,0,275.74
121.42,28.66,8,1428.8,17.84,5.7,1.1,10.1,134,0.96,0,1,0,9,3,1,0,0,0,500,220,334,0,158.2
119.17,28.98,80,1602.6,17.1,4.23,1.09,124,217.5,3.07,0,1,0,14,3,1,0,0,0,617.25,608.25,366,0,371
120.52,29.74,484,1354.4,17.65,3.66,2.72,29.9,189.15,2.35,0,1,0,10,3,1,0,0,0,700,700,700,0,431.03
88.24,26.88,100,2000,13,4.86,0.85,41,146,1.78,1,0,0,20,3,1,0,0,0,128,67.95,24.3,0,119.58
113.34,28.55,75,1993.6,16.71,4.8,0.88,91.68,210,0.84,0,1,0,10,3,0,0,0,1,56.25,7.32,6.53,355.8,NaN
108.16,28.02,970,1336.5,16.24,4.79,0.98,55.5,216.4,1.49,1,0,0,8,3,0,0,1,0,340.8,48,72,0,588.43
121.42,28.66,8,1648,17.84,5.7,1.1,10.1,134,0.96,0,1,0,9,3,0,0,0,0,0,0,0,0,113.8
119.37,28.57,195,1484,17.71,4.31,12.6,174,288,1.68,0,1,0,12,3,1,0,0,0,155.34,51,81.6,0,242.37
113.33,28.46,55,1596.77,18.15,4.72,1.05,100.5,170.5,1.24,0,1,0,10,3,0,0,0,0,0,0,0,0,70.47
119.17,28.98,65,1484,18.21,4.67,2.89,59.3,195.84,4.89,0,1,0,16,3,1,0,0,0,428.94,82.63,126.14,0,NaN
119.42,35.62,77.8,765.8,13.1,5.11,1.26,41.4,239.4,1.01,0,1,0,5,3,0,0,0,0,0,0,0,0,322.33
119.38,28.58,186,1816.5,17.97,4.31,1.26,17.4,144,1.68,0,1,0,9,3,1,0,0,0,155.34,51,81.6,0,213.81
118,25.01,224,1378.3,19.92,4.2,1.52,35.6,184,1.02,0,1,0,10,3,1,0,0,0,300,0,105,0,391.07
116,28.37,39,1721.95,18.81,3.88,1.33,63.52,203.66,2.27,0,1,0,7,3,1,0,0,0,225,48.6,81.9,0,343.11
106.98,25.74,1060,1316.9,17.07,4.53,0.57,15,237,1.37,0,1,0,7,3,1,0,0,0,608.4,150,120,0,439.71
119.17,28.98,65,1839.8,18.24,4.67,2.89,59.3,195.84,4.89,0,1,0,16,3,1,0,0,0,300.82,91.16,135.13,0,NaN
115.7,31.54,459,1402.1,16.31,4.25,1.15,30.55,245,2.51,0,1,0,7,3,0,0,0,0,0,0,0,0,114.14
114.92,31.95,72,862.65,16.41,5.2,1.84,NaN,NaN,1.88,0,1,0,5,3,0,0,1,0,150.89,0,0,0,372
119.68,27.63,800,1721,17,4,1,43.1,176.5,2.03,0,1,0,9,3,1,0,0,0,190.44,43,186.16,0,333.81
119.52,31.17,260,1264.8,16.84,6.3,1.33,NaN,NaN,1.51,0,1,0,10,3,0,0,0,1,104.18,72,0,12000,141.48
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,150,75,150,0,491.13
119.96,27.37,91,1560.6,18.98,4.85,0.3,48,180.9,0.37,1,0,0,10,4,1,0,0,0,450,150,150,0,392
118.75,26.82,764,1650,19,3.84,0.98,102.8,137.2,3.14,0,1,0,8,3,0,0,0,0,0,0,0,0,511.66
106.79,22.33,332,1509.8,17.27,3.87,1.31,35.9,215.95,1.03,0,1,0,5,3,1,0,0,0,85.5,33.75,33.75,0,267.18
106.79,22.34,135,1265.7,22.83,3.87,1.31,35.9,215.95,1.03,0,1,0,7,3,1,0,0,0,0,67.5,0,0,NaN
100.98,22.787,1320,1514,17.7,5.04,1.04,87,245,2,1,0,0,20,3,0,0,0,1,379.5,120,75,2250,377.41
118.43,26.63,701,1660,19.3,4.53,0.57,15,237,1.37,0,1,0,7,3,1,0,0,0,45.02,45.02,45.02,0,152.98
119.95,27.37,91,1560.6,18.98,4.85,0.3,60.3,192,0.37,1,0,0,10,4,1,0,0,0,450,150,150,0,117.6
120.68,29.93,74,1300,16.4,3.98,0.17,182.6,227.34,0.28,0,1,0,18,3,1,0,0,0,360,80,100,0,95.41
103.5,29.67,450,1555.3,18.2,4.46,1.01,65,180,1.43,0,1,0,14,3,1,0,0,0,240,120,0,0,201.92
118.23,25.44,680,1574.63,18.49,4.4,1.22,14.4,196,2.15,1,0,0,7,3,0,0,0,1,270,0,75,3000,695.67
100.34,22.18,1100,1341,18.5,4.11,2.39,1009.5,258.5,5.51,1,0,0,9,3,1,0,0,0,350,166.7,166.7,0,194.03
120.68,29.93,74,1461,16.4,5.5,1.7,18.2,151.6,2.75,0,1,0,19,3,1,0,0,0,320,80,100,0,211.33
120.52,29.74,484,1466.2,17.83,3.66,2.72,29.9,189.15,2.35,0,1,0,10,3,0,0,1,0,450,75,90,0,526.48
119.38,28.58,186,1816.5,17.97,4.31,1.26,17.4,144,1.68,0,1,0,9,3,1,0,0,0,310.68,102,163.2,0,250.68
120.067,30.22,95,1487.73,17.42,4.4,1.2,91.68,218.56,1.07,0,1,0,25,3,1,0,0,0,423,423,423,0,298.6
100.34,22.18,1100,1341,18.5,4.11,2.39,1009.5,258.5,5.51,1,0,0,9,3,0,0,0,1,350,166.7,166.7,3000,221.23
119.36,28.56,372,1484,17.71,4.31,1.26,174,288,1.68,0,1,0,2,3,1,0,0,0,310.68,102,163.2,0,240.63
103.86,30.71,530,1000,16,6.8,1.4,NaN,NaN,1.43,0,1,0,6,3,0,1,0,0,0,0,0,8000,168.7
119.17,35.3,125,857.1,12.6,5.38,1.01,49.36,174.76,1.05,0,1,0,3,3,0,0,1,0,300,90,210,0,243.76
118.43,26.63,701,1660,19.3,4.53,0.57,15,237,1.37,0,1,0,7,3,0,1,0,0,0,0,0,600.3,168.48
114.32,30.48,25,1250.7,17.78,5.2,0.79,NaN,188.1,3.2,1,0,0,17,3,1,0,0,0,276.14,0,0,0,200.8
118,25.01,230,1800,17,3.91,1.39,45,168.4,1.05,0,1,0,5,3,1,0,0,0,315,112.5,225,0,250.73
118,25.01,230,1800,17,3.91,1.39,45,168.4,1.05,0,1,0,5,3,1,0,0,0,315,112.5,225,0,247.12
113.34,28.55,75,1993.6,16.71,4.8,0.88,91.68,210,0.84,0,1,0,10,3,0,0,0,1,112.5,2.44,2.18,6404.4,NaN
113.33,28.58,105,1330,17.5,6.3,1.13,NaN,NaN,1.32,1,0,0,3,3,0,0,1,0,450,0,0,0,253.6
119.41,35.45,35,991.3,17,5,1.2,105,218.7,2.02,0,1,0,10,3,0,0,0,0,0,0,0,0,253.4
119.37,28.57,195,1484,17.84,4.31,12.6,174,288,1.68,0,1,0,12,3,1,0,0,0,310.68,102,163.2,0,88.44
119.41,35.45,35,991.3,17,5,1.2,105,218.7,2.02,0,1,0,10,3,1,0,0,0,75,0,0,0,274.53
103.5,29.67,450,1555.3,18.2,4.46,1.01,65,180,1.43,0,1,0,14,3,1,0,0,0,240,120,180,0,161.54
113.37,23.16,34,1475.7,22.8,5.12,1.21,40.4,121.57,1.34,0,1,0,3,3,1,0,0,0,345,0,0,0,213.51
119.38,28.58,186,1816.5,17.97,4.31,1.26,17.4,144,1.68,0,1,0,9,3,1,0,0,0,310.68,102,163.2,0,143.82
106.98,25.74,1060,1316.9,17.07,4.53,0.57,15,237,1.37,0,1,0,7,3,0,0,0,0,0,0,0,0,353.78
100.98,22.787,1320,1514,17.7,5.04,1.04,87,245,2,1,0,0,20,3,1,0,0,0,759,192,150,0,511.47
100.98,22.787,1320,1514,17.7,5.04,1.04,87,245,2,1,0,0,20,3,0,0,0,1,379.5,120,75,2250,439.89
113.08,28.25,450,1389,16.5,4.8,0.88,NaN,186,0.84,0,1,0,10,3,1,0,0,0,450,58.95,52.05,0,211.81
113.34,28.55,75,1993.6,16.71,4.8,0.88,91.68,210,0.84,0,1,0,10,3,0,0,0,1,225,4.88,4.35,4269.6,NaN
106.79,22.33,332,1509.8,17.27,3.87,1.31,35.9,215.95,1.03,0,1,0,5,3,1,0,0,0,60.75,67.5,67.5,0,258.3
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,300,150,75,0,635.73
119.37,28.57,195,1484,17.71,4.31,12.6,174,288,1.68,0,1,0,12,3,1,0,0,0,310.68,102,163.2,0,143.82
116,28.37,39,1630.9,19.2,3.88,1.33,63.52,203.66,2.27,0,1,0,7,3,1,0,0,0,600,129.6,218.4,0,455.33
119.6,27.17,110,1700,17.9,4.25,1.07,98,176.8,1.95,1,0,0,5,3,0,0,1,0,112.06,37.35,56.03,0,406.87
119.37,28.57,195,1484,17.71,4.31,12.6,174,288,1.68,0,1,0,12,3,1,0,0,0,155.34,51,81.6,0,213.81
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,0,75,75,0,493.07
119.37,28.57,195,1484,17.84,4.31,12.6,174,288,1.68,0,1,0,12,3,1,0,0,0,310.68,102,163.2,0,97.35
119.36,28.56,372,1484,17.71,4.31,1.26,174,288,1.68,0,1,0,2,3,1,0,0,0,310.68,102,163.2,0,143.82
106.79,22.34,135,1265.7,22.83,3.87,1.31,35.9,215.95,1.03,0,1,0,7,3,1,0,0,0,168.75,0,0,0,NaN
121.59,29.67,70,1697.8,17.9,4.1,1.67,24,180.1,4.56,0,1,0,6,3,0,0,0,1,675,225,225,500,130.29
100.98,22.787,1320,1514,17.7,5.04,1.04,87,245,2,1,0,0,20,3,0,0,0,1,448.5,192,105,2250,394.57
117.88,25.3,435,1577.2,20.85,4.1,1.53,69.2,206.2,1.98,0,1,0,10,3,0,0,0,1,315,315,315,960,158.86
119.38,28.58,186,1648,18.11,4.31,1.26,17.4,144,1.68,0,1,0,9,3,1,0,0,0,310.68,102,163.2,0,188.01
106.79,22.34,135,1265.7,22.83,3.87,1.31,35.9,215.95,1.03,0,1,0,7,3,1,0,0,0,85.5,33.75,33.75,0,NaN
119.38,28.58,186,1816.5,17.97,4.31,1.26,17.4,144,1.68,0,1,0,9,3,1,0,0,0,155.34,51,81.6,0,192.12
113.34,28.55,75,1993.6,16.71,4.8,0.88,91.68,210,0.84,0,1,0,10,3,0,1,0,0,0,0,0,1423.2,NaN
119.17,28.98,65,1602.3,18.26,4.67,2.89,59.3,195.84,4.89,0,1,0,16,3,0,0,0,0,0,0,0,0,NaN
119.36,28.56,372,1484,17.71,4.31,1.26,174,288,1.68,0,1,0,2,3,1,0,0,0,310.68,102,163.2,0,276.9
119.17,35.3,125,857.1,12.6,5.38,1.01,49.36,174.76,1.05,0,1,0,3,3,1,0,0,0,300,90,210,0,238.9
119.95,27.37,91,1560.6,18.98,4.85,0.3,60.3,192,0.37,1,0,0,10,4,1,0,0,0,112.5,150,150,0,52
119.6,27.17,110,1700,17.9,4.25,1.07,98,176.8,1.95,1,0,0,5,3,1,0,0,0,68.53,68.53,68.53,0,351.51
113.34,28.55,75,1993.6,16.71,4.8,0.88,91.68,210,0.84,0,1,0,10,3,0,0,0,1,18.75,2.44,2.18,1067.4,NaN
120.68,29.93,74,1461,16.4,5.5,1.7,18.2,151.6,2.75,0,1,0,19,3,1,0,0,0,320,80,100,0,221.24
117.88,25.3,435,1577.2,20.85,4.1,1.53,69.2,206.2,1.98,0,1,0,10,3,0,1,0,0,0,0,0,3820,152.74
120.68,29.93,74,1461,16.4,5.5,1.7,18.2,151.6,2.75,0,1,0,19,3,0,0,0,0,0,0,0,0,154.69
100.34,22.18,1100,1341,18.5,4.11,2.39,1009.5,258.5,5.51,1,0,0,9,3,1,0,0,0,500,166.7,166.7,0,191.3
113.36,23.16,25,1956.1,22.61,6.3,1.13,NaN,188.1,1.05,0,1,0,17,3,1,0,0,0,450,0,0,0,457.14
114.92,31.95,72,862.65,16.41,5.2,1.84,NaN,NaN,1.88,0,1,0,5,3,1,0,0,0,150.72,0,0,0,357
117.88,25.3,435,1577.2,20.85,4.1,1.53,69.2,206.2,1.98,0,1,0,10,3,0,0,0,1,211.2,211.2,211.2,1860,160.46
103.5,29.67,450,1555.3,18.2,4.46,1.01,65,180,1.43,0,1,0,14,3,1,0,0,0,240,120,180,0,219.23
108.16,28.02,970,1336.5,16.24,4.79,0.98,55.5,216.4,1.49,1,0,0,8,3,0,0,1,0,340.8,48,72,0,632.75
113.33,28.46,55,1596.77,18.15,4.72,1.05,100.5,170.5,1.24,0,1,0,10,3,1,0,0,0,117.18,39.06,45.57,0,124.41
113.08,28.25,450,1389,16.5,4.8,0.88,NaN,186,0.84,0,1,0,10,3,0,0,0,0,0,0,0,0,152.18
119.6,27.17,110,1700,17.9,4.25,1.07,98,176.8,1.95,1,0,0,5,3,0,0,1,0,60.43,60.43,85.61,0,344.84
119.17,35.3,125,857.1,12.6,5.41,1.12,48.7,258.3,1.25,0,1,0,3,3,0,0,0,0,0,0,0,0,147.65
119.17,35.3,125,860.1,15.6,5.41,1.12,48.7,258.3,1.25,0,1,0,3,3,0,0,1,0,300,90,210,0,227.47
118.55,25.62,600,1800,18,3.38,3.69,NaN,NaN,5.92,0,1,0,10,3,0,1,0,0,0,0,0,12000,287.09
103.5,29.67,450,1555.3,18.2,4.46,1.01,65,180,1.43,0,1,0,14,3,1,0,0,0,240,120,0,0,132.69
118.3,29.653,178,1477,16.4,5.29,1.72,31.5,193.28,0.87,1,0,0,6,3,0,0,0,1,225,100.5,124.5,125,NaN
106.79,22.33,332,1509.8,17.27,3.87,1.31,35.9,215.95,1.03,0,1,0,5,3,1,0,0,0,168.75,24.75,67.5,0,245.88
80.64,8.49,125,2374,26,4.8,0.6,45,216,1.46,0,0,1,3,3,1,0,0,0,270.27,35.49,120.12,0,563.6
118.75,26.82,764,1650,19,3.84,0.98,102.8,137.2,3.14,0,1,0,8,3,1,0,0,0,350,140,210,0,594
113.08,28.25,450,1389,16.5,4.8,0.88,NaN,186,0.84,0,1,0,10,3,0,0,0,1,900,117.89,104.12,0,228.79
106.79,22.33,332,1509.8,17.27,3.87,1.31,35.9,215.95,1.03,0,1,0,5,3,1,0,0,0,168.75,0,0,0,196.08
119.38,28.58,186,1816.5,17.97,4.31,1.26,17.4,144,1.68,0,1,0,9,3,1,0,0,0,155.34,51,81.6,0,237.43
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,0,75,0,0,437.73
120.68,29.93,74,1461,16.4,5.5,1.7,18.2,151.6,2.75,0,1,0,19,3,0,0,0,0,0,0,0,0,134.16
119.38,26.68,543,1540,19.3,5.64,0.63,30,181.3,0.92,0,1,0,14,3,0,1,0,0,0,0,0,11400,366.33
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,450,75,0,0,647.27
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,300,75,75,0,485.93
119.37,28.57,195,1484,17.84,4.31,12.6,174,288,1.68,0,1,0,12,3,1,0,0,0,155.34,51,81.6,0,90.45
119.38,28.58,186,1816.5,17.97,4.31,1.26,17.4,144,1.68,0,1,0,9,3,1,0,0,0,155.34,51,81.6,0,242.37
100.98,22.8,1302,1868.6,19.01,5.9,1.02,91.7,261.12,0.37,1,0,0,9,3,1,0,0,0,360,150,120,0,501.66
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,0,150,75,0,422.53
119.17,35.3,125,857.1,12.6,5.38,1.01,49.36,174.76,1.05,0,1,0,3,3,1,0,0,0,300,90,210,0,237.56
119.45,31.28,152,1565.9,16.37,5.29,1.72,31.5,193.28,0.87,0,1,0,10,3,0,0,0,1,103.5,72,0,12000,141.48
119.36,28.56,372,870.55,17.84,4.31,1.26,174,288,1.68,0,1,0,2,3,1,0,0,0,310.68,102,163.2,0,139.02
100.45,21.958,1500,1563.2,21.89,5.2,1.4,NaN,114.63,1.2,1,0,0,3,3,0,0,0,1,139.2,36,0,3000,173.33
100.98,22.787,1320,1514,17.7,5.04,1.04,87,245,2,1,0,0,20,3,1,0,0,0,448.5,192,150,0,442.17
119.38,26.68,543,1540,19.3,5.64,0.63,30,181.3,0.92,0,1,0,14,3,0,0,0,1,104,34,28,5700,348
118,25.01,230,1800,17,3.91,1.39,45,168.4,1.05,0,1,0,5,3,0,0,0,1,354.38,151.88,264.38,262.5,243.72
120.52,29.74,484,1354.4,17.65,3.66,2.72,29.9,189.15,2.35,0,1,0,10,3,0,0,0,0,0,0,0,0,327.59
119.83,35.82,1139,697.3,14.28,6.3,3.05,91.68,210,1.72,0,1,0,10,3,0,0,0,1,7590,1890,2790,10,215.9
120.52,29.74,484,1466.2,17.83,3.66,2.72,29.9,189.15,2.35,0,1,0,10,3,1,0,0,0,450,75,90,0,563.5
113.34,28.55,75,1993.6,16.71,4.8,0.88,91.68,210,0.84,0,1,0,10,3,1,0,0,0,900,9.76,8.7,0,NaN
119.37,28.57,195,1484,17.84,4.31,12.6,174,288,1.68,0,1,0,12,3,1,0,0,0,310.68,102,163.2,0,188.01
119.36,28.56,372,870.55,17.84,4.31,1.26,174,288,1.68,0,1,0,2,3,1,0,0,0,310.68,102,163.2,0,98.67
121.59,29.67,70,1697.8,17.9,4.1,1.67,24,180.1,4.56,0,1,0,6,3,0,0,0,1,450,150,150,500,123.4
116,28.37,39,1630.9,19.2,3.88,1.33,63.52,203.66,2.27,0,1,0,7,3,1,0,0,0,150,32.4,54.6,0,318.44
113.34,28.55,75,1993.6,16.71,4.8,0.88,91.68,210,0.84,0,1,0,10,3,0,0,0,1,225,2.44,2.18,12808.8,NaN
119.95,28.44,74,1824.8,18.3,4.16,0.5,75.2,221.28,1.15,0,1,0,8,3,1,0,0,0,522,315,315,0,92.08
120.68,29.93,74,1461,16.4,5.5,1.7,18.2,151.6,2.75,0,1,0,19,3,1,0,0,0,320,0,100,0,241.06
106.79,22.34,135,1265.7,22.83,3.87,1.31,35.9,215.95,1.03,0,1,0,7,3,1,0,0,0,168.75,67.5,24.75,0,NaN
119.36,28.56,372,1484,17.71,4.31,1.26,174,288,1.68,0,1,0,2,3,1,0,0,0,155.34,51,81.6,0,213.81
118.43,26.63,701,1660,19.3,4.53,0.57,15,237,1.37,0,1,0,7,3,0,1,0,0,0,0,0,3858.93,160.29
113.34,28.55,75,1993.6,16.71,4.8,0.88,91.68,210,0.84,0,1,0,10,3,1,0,0,0,75,9.76,8.7,0,NaN
116.78,23.81,245,1475.9,21.4,4.31,1.14,47.3,201.42,1.98,0,1,0,3,3,0,0,0,0,0,0,0,0,186
118,25.01,230,1800,17,3.91,1.39,45,168.4,1.05,0,1,0,5,3,0,0,0,1,354.38,151.88,264.38,262.5,275.74
116,28.37,39,1721.95,18.81,3.88,1.33,63.52,203.66,2.27,0,1,0,7,3,1,0,0,0,375,81,136.5,0,439.11
113.33,28.58,105,1330,17.5,6.3,1.13,NaN,NaN,1.32,1,0,0,3,3,0,0,1,0,225,0,0,0,345.6
100.98,22.787,1320,1514,17.7,5.04,1.04,87,245,2,1,0,0,20,3,0,0,0,0,0,0,0,0,46.27
119.83,35.82,1139,697.3,14.28,6.3,3.05,91.68,210,1.72,0,1,0,10,3,0,0,0,1,9487.5,2362.5,3487.5,20,251.1
119.41,35.45,35,924.9,17,5,1.2,105,218.7,2.02,0,1,0,10,3,1,0,0,0,75,0,0,0,108.62
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,300,75,0,0,443.33
119.95,28.44,74,1824.8,18.3,4.16,0.5,75.2,221.28,1.15,0,1,0,8,3,0,0,0,1,522,315,315,3750,115.7
117.88,25.3,435,1577.2,20.85,4.1,1.53,69.2,206.2,1.98,0,1,0,10,3,0,0,0,1,104.4,104.4,104.4,2880,158.86
113.37,23.16,34,1475.7,22.8,5.12,1.21,40.4,121.57,1.34,0,1,0,3,3,1,0,0,0,135,112.5,45,0,323.96
119.37,28.57,195,1484,17.71,4.31,12.6,174,288,1.68,0,1,0,12,3,1,0,0,0,310.68,102,163.2,0,250.68
119.42,35.62,77.8,765.8,13.1,5.11,1.26,41.4,239.4,1.01,0,1,0,5,3,0,0,0,1,175,52.5,122.5,2000,284.33
117.92,27.65,235,2057.3,18.28,4.52,1.05,59.13,198.54,2.27,0,1,0,30,3,1,0,0,0,112.5,112.5,112.5,0,NaN
118,25.01,230,1800,17,3.91,1.39,45,168.4,1.05,0,1,0,5,3,0,0,0,1,406.88,151.88,264.38,262.5,303.55
119.57,27.21,62,1699.5,17.16,4.85,0.3,48,180.9,0.37,0,1,0,3,4,1,0,0,0,0,150,300,0,147.3
119.37,28.57,195,1484,17.84,4.31,12.6,174,288,1.68,0,1,0,12,3,1,0,0,0,155.34,51,81.6,0,129.72
118,25.01,230,1800,17,3.91,1.39,45,168.4,1.05,0,1,0,5,3,0,0,0,1,420,112.5,225,525,247.72
118.43,26.63,701,1660,19.3,4.53,0.57,15,237,1.37,0,1,0,7,3,0,1,0,0,0,0,0,3858.93,163.09
120.68,29.93,74,1461,16.4,5.5,1.7,18.2,151.6,2.75,0,1,0,19,3,1,0,0,0,320,80,100,0,257.35
118,25.01,230,1800,17,3.91,1.39,45,168.4,1.05,0,1,0,5,3,1,0,0,0,420,112.5,225,0,293.95
