longitude,latitude,Altitude(m),Precipitation(mm),Average Temperature (°„C),pH,TN(g/kg-1),AP (mg/kg-1),AK(mg/kg-1),SOC(%),Large-leaved variety,Medium-leaved variety,small-leaved variety,Years of planting,Replicates,mineral fertilizer,organic fertilizer,controlled-released fertilizer,mix fertilizer,N quantity(kg/y/hm2),P2O5 quantity(kg/y/hm2),K2O quantity(kg/y/hm2),organic fertilizer quantity(kg`y/hm2),Fresh Shoot Yield(kg/667m2)_MEAN
119.37,28.57,195,1484,17.71,4.31,12.6,174,288,1.68,0,1,0,12,3,1,0,0,0,310.68,102,163.2,0,240.63
113.31,28.53,50,1330,17.5,6.3,1.13,NaN,NaN,1.32,1,0,0,3,3,0,0,0,0,0,0,0,0,56.15
119.45,31.28,152,1565.9,16.37,5.29,1.72,31.5,193.28,0.87,0,1,0,10,3,1,0,0,0,768.75,56.25,78.75,0,142.74
119.17,28.98,80,1602.6,17.1,4.23,1.09,124,217.5,3.07,0,1,0,14,3,1,0,0,0,662.25,504.75,331.5,0,231.87
119.17,35.3,125,864.1,19.6,5.41,1.12,48.7,258.3,1.25,0,1,0,3,3,1,0,0,0,300,90.02,210,0,236.18
106.18,29.13,560,1034.9,17.9,3.81,0.68,62,181.9,0.16,0,1,0,10,4,1,0,0,0,281.3,0,0,0,381.16
119.41,35.45,35,991.3,17,5,1.2,105,218.7,2.02,0,1,0,10,3,1,0,0,0,105,0,0,0,211.13
119.83,35.82,1139,697.3,14.28,6.3,3.05,91.68,210,1.72,0,1,0,10,3,0,0,0,1,9487.5,2362.5,3487.5,10,225.6
108.16,28.02,970,1336.5,16.24,4.79,0.98,55.5,216.4,1.49,1,0,0,8,3,0,0,1,0,300.6,84,126,0,635.78
118.43,26.63,701,1660,19.3,4.53,0.57,15,237,1.37,0,1,0,7,3,0,0,0,0,0,0,0,0,127.5
120.067,30.22,95,1487.73,17.42,4.4,1.2,91.68,218.56,1.07,0,1,0,25,3,0,1,0,0,0,0,0,7380,262.73
119.17,35.3,125,866.1,21.6,5.41,1.12,48.7,258.3,1.25,0,1,0,3,3,0,0,1,0,300,90,210,0,238.83
116,28.37,39,1630.9,19.2,3.88,1.33,63.52,203.66,2.27,0,1,0,7,3,1,0,0,0,30,60,120,0,385.78
106.79,22.33,332,1509.8,17.27,3.87,1.31,35.9,215.95,1.03,0,1,0,5,3,1,0,0,0,0,0,67.5,0,186.06
106.98,25.74,1060,1316.9,17.07,4.53,0.57,15,237,1.37,0,1,0,7,3,0,0,1,0,300.6,84,126,0,453.29
100.33,22.13,1112,1400,18.9,5.52,0.95,NaN,114.63,1.2,1,0,0,9,3,1,0,0,0,124.65,37.8,75.45,0,139.09
119.17,35.3,125,867.1,22.6,5.41,1.12,48.7,258.3,1.25,0,1,0,3,3,0,0,0,1,149.99,44.99,105,1500,270.65
119.37,28.57,195,1484,17.71,4.31,12.6,174,288,1.68,0,1,0,12,3,1,0,0,0,310.68,102,163.2,0,276.9
118.23,25.44,680,1574.63,18.49,4.4,1.22,14.4,196,2.15,1,0,0,7,3,0,0,0,1,0,120,75,3000,613.67
119.17,28.98,80,1602.6,17.1,4.23,1.09,124,217.5,3.07,0,1,0,14,3,1,0,0,0,472.5,157.5,270,0,217.47
113.33,28.58,105,1330,17.5,4.16,0.77,55.5,NaN,0.98,1,0,0,3,3,0,0,1,0,225,0,0,0,189.79
120.067,30.22,95,1488.5,17.42,4.4,1.2,91.68,218.56,1.07,0,1,0,25,3,0,1,0,0,0,0,0,4800,216.2
120.52,29.74,484,1466.2,17.83,3.66,2.72,29.9,189.15,2.35,0,1,0,10,3,0,0,0,0,0,0,0,0,491.52
119.42,35.62,77.8,765.8,13.1,5.11,1.26,41.4,239.4,1.01,0,1,0,5,3,1,0,0,0,349.98,105.02,245,0,164.07
119.37,28.57,195,1484,17.71,4.31,12.6,174,288,1.68,0,1,0,12,3,1,0,0,0,155.34,51,81.6,0,237.43
114.92,31.95,72,866.5,16.02,5.2,1.84,NaN,NaN,1.88,0,1,0,5,3,1,0,0,0,150.89,0,0,0,176
118,25.01,224,1378.3,19.92,4.2,1.52,35.6,184,1.02,0,1,0,10,3,1,0,0,0,390,105,105,0,419.17
116.78,23.81,245,1475.9,21.4,4.31,1.14,47.3,201.42,1.98,0,1,0,3,3,0,0,0,0,0,0,0,0,217.52
88.24,26.88,100,2000,13,4.86,0.85,41,146,1.78,1,0,0,20,3,1,0,0,0,122.25,88.5,17.25,0,102.74
118.3,29.653,178,1477,16.4,5.29,1.72,31.5,193.28,0.87,1,0,0,6,3,0,0,0,1,0,100.5,124.5,500,NaN
118.3,29.653,178,1477,16.4,5.29,1.72,31.5,193.28,0.87,1,0,0,6,3,0,0,0,1,150,100.5,124.5,250,NaN
113.08,28.25,450,1389,16.5,4.8,0.88,NaN,186,0.84,0,1,0,10,3,0,0,0,1,450,58.96,52.02,0,191.28
116,28.37,39,1721.95,18.81,3.88,1.33,63.52,203.66,2.27,0,1,0,7,3,1,0,0,0,600,129.6,218.4,0,524.44
103.86,30.71,530,1000,16,6.8,1.4,NaN,NaN,1.43,0,1,0,6,3,0,0,0,1,55,15,15,2000,203.4
116.78,23.81,245,1475.9,21.4,4.31,1.14,47.3,201.42,1.98,0,1,0,3,3,1,0,0,0,550,174,176,0,216
119.36,28.56,372,870.55,17.84,4.31,1.26,174,288,1.68,0,1,0,2,3,1,0,0,0,155.34,51,81.6,0,87.79
113.34,28.55,75,1993.6,16.71,4.8,0.88,91.68,210,0.84,0,1,0,10,3,0,0,0,1,450,4.88,4.35,8539.2,NaN
117.92,27.65,235,2057.3,18.28,4.52,1.05,59.13,198.54,2.27,0,1,0,30,3,1,0,0,0,157.5,60,82.5,0,NaN
120.84,30.09,10,1306.8,17.85,4.73,1.83,209.75,217,4.2,0,1,0,10,4,1,0,0,0,76.5,13.5,58.5,0,347.8
109.72,32.32,600,1082.3,14.83,4.1,1.36,94.5,266,0.69,0,1,0,9,3,1,0,0,0,807.75,0,0,0,148.02
117.93,27.66,524,1971.9,18.72,4.62,1.05,50.13,198.54,2.27,0,1,0,9,3,1,0,0,0,135,60,135,0,NaN
119.17,28.98,65,1839.8,18.24,4.67,2.89,59.3,195.84,4.89,0,1,0,16,3,1,0,0,0,306,93.86,135.43,0,NaN
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,300,75,150,0,599.2
116,28.37,39,1721.95,18.81,3.88,1.33,63.52,203.66,2.27,0,1,0,7,3,1,0,0,0,30,60,120,0,451.56
119.36,28.56,372,1484,17.71,4.31,1.26,174,288,1.68,0,1,0,2,3,1,0,0,0,155.34,51,81.6,0,242.37
119.36,28.56,372,870.55,17.84,4.31,1.26,174,288,1.68,0,1,0,2,3,1,0,0,0,155.34,51,81.6,0,129.72
119.38,28.58,186,1648,18.11,4.31,1.26,17.4,144,1.68,0,1,0,9,3,1,0,0,0,310.68,102,163.2,0,97.35
100.98,22.8,1302,1868.6,19.01,6.3,1.02,91.7,261.12,0.37,1,0,0,9,3,1,0,0,0,360,120,120,0,440.38
106.79,22.34,135,1265.7,22.83,3.87,1.31,35.9,215.95,1.03,0,1,0,7,3,1,0,0,0,101.25,40.5,0,0,NaN
116.78,23.81,245,1475.9,21.4,4.31,1.14,47.3,201.42,1.98,0,1,0,3,3,1,0,0,0,558,169,175,0,280.96
109.72,32.24,600,1160.1,14.35,4.8,0.88,NaN,186,0.84,0,1,0,10,5,0,0,0,0,0,0,0,0,127.3
106.98,25.74,1060,1316.9,17.07,4.53,0.57,15,237,1.37,0,1,0,7,3,0,0,1,0,340.8,48,72,0,444.13
113.34,28.55,75,1993.6,16.71,4.8,0.88,91.68,210,0.84,0,1,0,10,3,0,0,0,0,0,0,0,0,NaN
100.98,22.787,1320,1514,17.7,5.04,1.04,87,245,2,1,0,0,20,3,0,0,0,1,759,192,105,2250,467.52
113.33,28.46,55,1596.77,18.15,4.72,1.05,100.5,170.5,1.24,0,1,0,10,3,1,0,0,0,154.44,70.79,64.35,0,120
113.36,23.16,25,1956.1,22.61,6.3,1.13,NaN,188.1,1.05,0,1,0,17,3,1,0,0,0,300,0,0,0,557.13
119.38,28.58,186,1648,18.11,4.31,1.26,17.4,144,1.68,0,1,0,9,3,1,0,0,0,155.34,51,81.6,0,79.57
120.68,29.93,74,1300,16.4,3.98,0.17,182.6,227.34,0.28,0,1,0,18,3,1,0,0,0,0,80,100,0,69.93
109.72,32.32,600,1082.3,14.83,4.1,1.36,94.5,266,0.69,0,1,0,9,3,1,0,0,0,807.75,52.34,0,0,153.55
119.17,28.98,65,1484,18.21,4.67,2.89,59.3,195.84,4.89,0,1,0,16,3,1,0,0,0,298.8,90,135,0,NaN
113.36,23.16,25,1956.1,22.61,5.2,1.13,NaN,188.1,1.05,0,1,0,17,3,1,0,0,0,150,0,0,0,123.53
119.58,27.22,111,1876.1,17.02,5.2,1.13,NaN,188.1,3.2,1,0,0,20,3,0,1,0,0,0,0,0,3750,180.03
88.24,26.88,100,2000,13,4.86,0.85,41,146,1.78,1,0,0,20,3,1,0,0,0,91.5,21.4,17.3,0,107.79
113.36,23.16,25,1956.1,22.61,6.3,1.13,NaN,188.1,1.05,0,1,0,17,3,1,0,0,0,150,0,0,0,257.13
116,28.37,39,1780.8,19.3,3.88,1.33,63.52,203.66,2.27,0,1,0,7,3,1,0,0,0,373.8,169.2,84,0,493.58
119.58,27.22,111,1876.1,17.02,5.2,1.13,NaN,188.1,3.2,1,0,0,20,3,0,1,0,0,0,0,0,3000,168.86
119.83,35.82,1139,697.3,14.28,6.3,3.05,91.68,210,1.72,0,1,0,10,3,0,0,0,1,9487.5,2362.5,3487.5,15,237
106.79,22.34,135,1265.7,22.83,3.87,1.31,35.9,215.95,1.03,0,1,0,7,3,1,0,0,0,0,40.5,40.5,0,NaN
119.58,27.22,111,1876.1,17.02,5.3,1.13,NaN,188.1,3.2,1,0,0,20,3,0,1,0,0,0,0,0,2250,161.78
120.68,29.93,74,1461,16.4,5.5,1.7,18.2,151.6,2.75,0,1,0,19,3,1,0,0,0,320,80,0,0,244.6
119.58,27.22,111,1876.1,17.02,5.2,1.13,NaN,188.1,3.2,1,0,0,20,3,1,0,0,0,112.5,78.75,90,0,167.91
120.52,29.74,484,1354.4,17.65,3.66,2.72,29.9,189.15,2.35,0,1,0,10,3,1,0,0,0,450,75,90,0,396.55
120.68,29.93,74,1461,16.4,5.5,1.7,18.2,151.6,2.75,0,1,0,19,3,1,0,0,0,320,0,100,0,180.88
